Cód.,Município,PIB (Mil Reais),Impostos (Mil Reais),VA da agropecuária (Mil Reais),VA da indústria (Mil Reais),VA dos serviços (Mil Reais),VA da administração pública (Mil Reais)
2401602,Bento Fernandes (RN),52890,1081,5447,1268,9014,36080
2401651,Bodó (RN),251731,5490,3867,208862,12248,21266
2401701,Bom Jesus (RN),89038,4960,3316,3636,24798,52327
2401800,Brejinho (RN),163470,15688,6005,10627,62421,68728
2401859,Caiçara do Norte (RN),80637,3277,18462,4031,17543,37323
2401909,Caiçara do Rio do Vento (RN),38018,1738,1535,1255,10398,23093
2402006,Caicó (RN),1280703,148554,38734,75963,654892,362561
2402105,Campo Redondo (RN),93639,2313,3143,2673,19043,66466
2402204,Canguaretama (RN),560901,34904,200956,17588,120792,186662
2402303,Caraúbas (RN),377474,35551,21603,58009,150006,112306
2402402,Carnaúba dos Dantas (RN),89623,5258,2789,10373,25280,45924
2402501,Carnaubais (RN),174678,4001,11162,58423,36974,64119
2402600,Ceará-Mirim (RN),899286,74239,48095,43858,348638,384456
2402709,Cerro Corá (RN),145540,12521,15378,13492,41161,62988
2402808,Coronel Ezequiel (RN),46769,1210,2363,2188,8958,32050
2402907,Coronel João Pessoa (RN),43356,1219,1581,978,9235,30342
2403004,Cruzeta (RN),110960,6313,11625,18532,28556,45934
2403103,Currais Novos (RN),758989,75647,14605,82712,358574,227451
2403202,Doutor Severiano (RN),64325,2054,5187,1354,14046,41684
2403251,Parnamirim (RN),5595001,795888,54301,708050,2733531,1303231
2403301,Encanto (RN),50036,1083,2126,1836,11008,33983
2403400,Equador (RN),64575,3475,1648,10422,14799,34230
2403509,Espírito Santo (RN),82179,2534,4086,2714,17304,55541
2403608,Extremoz (RN),451697,42264,14087,67416,160103,167827
2403707,Felipe Guerra (RN),104244,3817,4662,27188,29592,38985
2403756,Fernando Pedroza (RN),34313,791,821,2331,7943,22427
2403806,Florânia (RN),87485,4486,10564,5265,22857,44314
2403905,Francisco Dantas (RN),28826,611,2178,1093,6015,18929
2404002,Frutuoso Gomes (RN),38049,1727,1593,2072,10529,22128
2404101,Galinhos (RN),96717,8670,30673,13593,17825,25955
2404200,Goianinha (RN),410084,28402,35774,36072,150800,159036
2404309,Governador Dix-Sept Rosado (RN),301092,22669,32342,103845,66240,75996
2404408,Grossos (RN),165366,9188,4279,47146,44451,60302
2404507,Guamaré (RN),1734454,89868,36246,1148404,290254,169682
2404606,Ielmo Marinho (RN),112827,3026,12204,2917,17828,76852
2404705,Ipanguaçu (RN),150604,6779,16596,5791,37706,83732
2404804,Ipueira (RN),28182,816,3461,903,5948,17055
2404853,Itajá (RN),87594,4598,2727,5399,35038,39832
2404903,Itaú (RN),58409,2000,4365,2600,14851,34593
2405009,Jaçanã (RN),69031,1607,2966,2820,13781,47857
2405108,Jandaíra (RN),76006,4884,3949,6593,17667,42912
2405207,Janduís (RN),85590,2528,3656,29530,16344,33532
